procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0 932096 4042852 117756 5071204    0    0     0     0 5629 5239 78  6 16  0  0  0
 5  0 932096 4041720 117756 5075328    0    0     0     0 6330 6725 78  6 16  0  0  0
 3  0 932096 4041740 117772 5075344    0    0     0    42 4781 3095 76  2 22  0  0  0
 3  0 932096 4040232 117788 5075352    0    0     0    40 4353 2366 77  2 22  0  0  0
 3  0 932096 4013632 117908 5076544    6    0   648     0 4649 2811 78  4 17  0  0  0
 4  0 931840 3932960 118188 5080776  466    0  1780  1022 5422 3267 83  4 13  0  0  0
 3  0 931840 3873432 118616 5093192   24    0   278  7328 5255 3137 95  4  0  1  0  0
 3  0 931840 3871680 118616 5093192    0    0     0     0 4125 1970 76  1 23  0  0  0
 3  0 931840 3871628 118616 5093376    0    0    83     2 4989 3563 77  4 19  0  0  0
 3  0 931840 3872628 118624 5093380    0    0     0    26 4636 2833 77  4 20  0  0  0
 3  0 931840 3871208 118632 5093372    0    0     0    14 4250 2187 76  2 21  0  0  0
 3  0 931840 4008968 118648 5093380   20    0    20    32 4340 2430 77  3 20  0  0  0
 3  0 931840 4010308 118648 5093388    0    0     0    22 4148 2061 76  2 22  0  0  0
 3  0 931840 4009004 118656 5093412    0    0     0    36 4297 2229 77  2 21  0  0  0
 7  0 931840 4010280 118672 5093408    0    0     0    38 4301 2071 76  2 22  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0 931840 4009916 118672 5093424    0    0     0    10 5175 3556 78  5 17  0  0  0
 3  0 931840 4007684 118680 5093432    0    0     0    26 6385 5823 78  6 16  0  0  0
 3  0 931840 4007644 118688 5093456    0    0     0   112 5026 3256 79  4 17  0  0  0
 7  0 931840 4014892 118704 5088564    0    0     0    32 4523 2589 76  2 22  0  0  0
 3  0 931840 4017028 118704 5090420    0    0     0   204 4971 4487 78  4 18  0  0  0
 3  0 931840 4018708 118704 5090428    0    0     0     2 4288 2207 76  2 23  0  0  0
 3  0 931840 4018644 118712 5090452    0    0     0    22 4504 2530 77  2 21  0  0  0
 3  0 931840 4018412 118720 5090444    0    0     0    18 4525 2665 77  2 21  0  0  0
 3  0 931840 4018920 118736 5090448    0    0     0    32 4288 2007 76  2 22  0  0  0
 4  0 931840 4018072 118744 5090464    0    0     0    26 4108 2185 75  2 23  0  0  0
 4  0 931840 4010156 118760 5093564    0    0     0    30 4953 4620 79  4 17  0  0  0
 3  0 931840 4011216 118760 5093572    0    0     0     4 4496 2626 76  2 22  0  0  0
 3  0 931840 4009108 118760 5093620    0    0     0     0 5134 3963 77  4 19  0  0  0
 4  0 931840 4014212 118768 5093640    0    0     0   110 5760 4856 77  4 19  0  0  0
 3  0 931840 4015860 118784 5089524    0    0     0    44 5612 5722 78  5 17  0  0  0
 3  0 931840 4014404 118784 5089528    0    0     0     6 4562 3053 76  3 22  0  0  0
 3  0 931840 4013644 118792 5089536    0    0     0    32 4464 3247 76  2 22  0  0  0
 3  0 931840 4013140 118800 5089548    0    0     0    14 4370 3092 77  3 20  0  0  0
 3  1 931840 4014780 118816 5089548   16    0    16    52 3960 1773 76  1 23  0  0  0
 3  0 931840 4015632 118816 5089548    0    0     0     0 4026 1919 75  2 23  0  0  0
 3  0 931840 4015208 118816 5089552    0    0     0    46 4273 2361 75  2 23  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0 931840 4009460 118824 5089604    0    0     0    18 4618 2957 77  3 21  0  0  0
 3  0 931840 4011128 118824 5089612    0    0     0     0 4836 4266 78  4 19  0  0  0
 3  0 931840 4016616 118824 5089628    0    0     0     0 4815 3089 77  4 19  0  0  0
 3  0 931840 4017236 118848 5089644    0    0     0    42 4792 3804 77  3 20  0  0  0
 5  0 931840 4016152 118864 5088964    0    0     0    30 4779 3730 78  3 18  0  0  0
 6  1 931840 4014428 118864 5089700    0    0     0     0 4926 4224 78  5 18  0  0  0
 3  0 931840 4016144 118864 5089628    0    0     0    26 4617 3246 77  3 20  0  0  0
 3  0 931840 4012892 118872 5089704    0    0     0    32 5016 4731 79  3 18  0  0  0
 3  0 931840 4013700 118888 5089700    0    0     0    60 4600 2857 76  4 20  0  0  0
 3  0 931840 4011592 118888 5089704    0    0     0     2 5021 3482 77  3 20  0  0  0
 3  0 931840 4012836 118896 5089708    0    0     0   160 4894 3163 77  3 20  0  0  0
 3  0 931840 4013384 118904 5089728    0    0     0    20 4335 2202 76  2 22  0  0  0
 4  0 931840 4012384 118920 5089724    0    0     0    36 5297 5212 79  5 16  0  0  0
 5  0 931840 4013828 118920 5090760    0    0     0     0 5053 4241 77  4 19  0  0  0
 3  0 931840 4015020 118928 5090764    0    0     0    90 4970 3912 77  4 19  0  0  0
 3  0 931840 4014516 118928 5090784    0    0     0    56 4582 2852 76  3 21  0  0  0
 3  0 931840 4007720 118936 5093920    0    0     0    46 4810 4023 78  3 19  0  0  0
 3  0 931840 4013568 118952 5089840    0    0     0    30 4738 3627 77  3 20  0  0  0
 3  0 931840 4013344 118960 5089864    0    0     0    24 4364 2441 76  2 21  0  0  0
 3  0 931840 4012484 118976 5089872    0    0     0    30 4449 2371 76  2 21  0  0  0
 3  0 931840 4011440 118976 5089892    0    0     0     0 4397 2353 76  2 22  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0 931840 4010500 118976 5089948    0    0     0     0 4584 2788 76  2 22  0  0  0
 3  0 931840 4011940 118984 5090052    0    0    30    30 5115 4089 77  4 19  0  0  0
 3  0 931840 4013352 119000 5090060    0    0     0    76 5012 3666 77  4 19  0  0  0
 6  0 931840 4012672 119000 5090280    0    0     0   128 4804 3252 76  4 20  0  0  0
 3  0 931840 4013584 119008 5090100    0    0     0    50 4624 3023 76  2 22  0  0  0
 3  0 931840 4013884 119016 5090148    0    0     0    18 4556 2925 76  3 21  0  0  0
 3  0 931840 4014632 119032 5090152    0    0     0    40 4560 2553 77  3 20  0  0  0
 5  0 931840 4012144 119032 5090164    0    0     0     0 4148 2041 76  2 23  0  0  0
 3  0 931840 4013184 119040 5090168    0    0     0    34 4079 1876 76  2 23  0  0  0
 3  0 931840 4013468 119040 5090172    0    0     0     0 4304 2080 76  2 22  0  0  0
 3  0 931840 4014356 119048 5090176    0    0     0    26 4297 2436 76  2 23  0  0  0
 4  0 931840 4014808 119048 5090184    0    0     0     0 4527 2485 79  3 18  0  0  0
 8  0 931840 4014060 119056 5090164    0    0     0    88 4568 2850 78  3 20  0  0  0
 4  0 931840 4015452 119072 5090176    0    0     0    30 4827 3990 78  4 18  0  0  0
 3  0 931840 4014100 119072 5090192    0    0     0     0 4813 3039 78  5 17  0  0  0
 3  0 931840 4014980 119072 5090220    0    0     0    26 4827 3231 77  2 21  0  0  0
 3  0 931840 4015744 119080 5090252    0    0     0    38 5037 5055 78  4 18  0  0  0
 3  0 931840 4014220 119096 5089532    0    0     0    32 4740 3231 76  3 21  0  0  0
 3  0 931840 4011816 119096 5090244    0    0     0     0 5977 6314 80  5 15  0  0  0
 3  0 931840 4013456 119104 5090300    0    0     0    18 5742 5922 80  5 15  0  0  0
 3  0 931840 4012196 119112 5090328    0    0     0    20 4821 3626 76  3 21  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0 931840 4013504 119128 5090348    0    0     0   114 5725 4966 78  5 17  0  0  0
 3  0 931840 4012316 119128 5090376    0    0     0     0 6254 5744 78  6 15  0  0  0
 3  0 931840 4012672 119136 5090396    0    0     0    28 5309 3983 77  4 19  0  0  0
 3  0 931840 4014656 119136 5090416    0    0     0     0 5634 4807 77  5 18  0  0  0
 3  0 931840 4014172 119144 5090420    0    0     0    18 4912 3478 76  3 21  0  0  0
 3  0 931840 4012928 119160 5090436    0    0     0    30 4849 3457 76  2 22  0  0  0
 4  0 931840 4011944 119168 5090436    0    0     0    20 4944 3839 78  4 18  0  0  0
 3  0 931840 4013896 119184 5090504    0    0     0    30 4648 3787 77  3 20  0  0  0
 5  0 931840 4013944 119184 5090520    0    0     0     0 4720 3006 77  2 21  0  0  0
 6  0 931840 4013432 119184 5090568    0    0     0     0 4524 2748 76  2 22  0  0  0
 3  0 931840 4011148 119192 5090576    0    0     0    82 4775 3895 78  3 19  0  0  0
 3  0 931840 4010836 119208 5090580    0    0     0    38 4798 3978 77  4 19  0  0  0
 4  0 931840 4009556 119208 5090592    0    0     0     0 5450 5262 78  4 18  0  0  0
 3  0 931840 4006324 119216 5091608    0    0     0    22 4708 3421 76  3 21  0  0  0
 4  0 931840 4014100 119224 5090568    0    0     0    18 5350 5537 78  4 17  0  0  0
 4  0 931840 4015496 119240 5090568    0    0     0    36 4735 3024 76  2 22  0  0  0
 3  0 931840 4014756 119240 5090576    0    0     0     4 4650 2933 76  2 22  0  0  0
 3  0 931840 4014260 119240 5090584    0    0     0     0 4356 2286 76  3 21  0  0  0
 4  0 931840 4008344 119248 5090676    0    0     0    26 6810 7651 79  6 15  0  0  0
 3  0 931840 4003144 119248 5094808    0    0     0     0 6486 6945 79  8 13  0  0  0
 3  0 931840 4004376 119256 5090708    0    0     0    18 7086 8749 77  9 14  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0 931840 4009712 119264 5090724    0    0     0    28 5006 3830 76  3 21  0  0  0
 3  0 931840 4009080 119288 5090736    0    0     0    48 4849 3339 76  4 20  0  0  0
 3  0 931840 4004928 119288 5090704    0    0     0   160 5410 4801 78  5 16  0  0  0
 3  0 931840 4003696 119288 5090764    0    0     0    20 5246 4938 77  4 20  0  0  0
 3  0 931840 4004092 119296 5090788    0    0     0    46 4461 2879 76  2 22  0  0  0
 3  0 931840 4003036 119312 5090784    0    0     0    86 4094 2207 75  2 23  0  0  0
 3  0 931840 4003344 119312 5090800    0    0     0     0 4591 2869 76  3 21  0  0  0
 7  0 931840 4004160 119320 5090804   16    0    16    98 4872 3309 77  4 19  0  0  0
 4  0 931840 4003580 119328 5090824    0    0     0    40 6322 6240 79  5 17  0  0  0
 4  0 931840 4002476 119344 5090832    0    0     0    38 6037 5436 78  7 15  0  0  0
 5  0 931840 4006760 119344 5090840    0    0     0     2 5772 4951 77  5 18  0  0  0
 3  0 931840 4005536 119344 5090852    0    0     0    12 4787 3314 76  3 21  0  0  0
 4  0 931840 4006212 119352 5090868    0    0     0    26 4720 3058 76  2 22  1  0  0
 3  0 931840 4005348 119360 5090860    0    0     0    46 6077 5377 78  6 16  0  0  0
 3  0 931840 4006548 119376 5090872    0    0     0    30 4456 2280 76  2 21  0  0  0
 3  0 931840 4005836 119384 5090884    0    0     0    20 4913 3350 76  3 21  0  0  0
 3  0 931840 4005568 119400 5090876    0    0     0    30 4827 2922 77  4 19  0  0  0
 3  0 931840 4005444 119400 5090888    0    0     0     0 4418 2568 75  2 23  0  0  0
 3  0 931840 4007744 119404 5090944    0    0     2     4 4214 2244 76  2 23  0  0  0
 7  0 931840 4009848 119412 5090964    0    0     0    44 4368 2306 78  2 20  0  0  0
 3  0 931840 4009564 119428 5090968    0    0     0    42 4476 2769 77  3 20  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0 931840 4008920 119428 5090976    0    0     0     0 4770 2960 77  4 19  0  0  0
 6  0 931840 4009560 119428 5090984    0    0     0     0 6242 5584 78  7 14  0  0  0
10  0 931840 4004816 119444 5091052    0    0     4    46 5860 5323 77  6 17  0  0  0
 3  0 931840 4003008 119460 5091004    0    0     0   178 7477 8548 80 10 10  0  0  0
 3  0 931840 4002352 119460 5091040    0    0     0     0 5810 5745 79  4 17  0  0  0
 4  1 931840 4004416 119460 5091044    0    0     0     4 4783 3564 76  3 21  0  0  0
 3  0 931840 4004512 119468 5091068    0    0     0    98 4515 2639 76  3 21  0  0  0
 3  0 931840 4004956 119468 5091072    0    0     0     0 4731 3144 76  2 22  0  0  0
 3  0 931840 4006644 119476 5091072    0    0     0    28 4880 3160 76  2 22  0  0  0
 3  0 931840 4004088 119484 5091104    0    0     0   104 4561 2794 76  2 21  0  0  0
 3  0 931840 4005336 119500 5091100    0    0     0    30 4809 3154 77  3 20  0  0  0
 3  0 931840 4004168 119500 5091116    0    0     0     0 5497 4823 79  6 15  0  0  0
 4  0 931840 4006100 119500 5091128    0    0     0    24 4952 4123 77  3 20  0  0  0
 3  0 931840 4004528 119508 5091144    0    0     0    28 4614 2652 77  3 20  0  0  0
 3  0 931840 4007320 119524 5091136    0    0     0    40 4510 2668 76  3 21  0  0  0
 3  0 931840 4005232 119524 5091148    0    0     0     0 4340 2537 76  2 23  0  0  0
 4  0 931840 4006696 119532 5091148    0    0     0    96 5086 3572 77  4 19  0  0  0
 3  0 931840 4004384 119540 5091168    0    0     0    18 5110 3603 77  3 20  0  0  0
 3  0 931840 4006192 119564 5091160    0    0     0    54 4701 2791 76  4 19  0  0  0
 3  0 931840 4006060 119564 5091172    0    0     0     4 4504 2784 75  3 22  0  0  0
 7  0 931840 3994468 119564 5094780    0    0     0     0 4679 3325 76  4 21  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0 931840 3994464 119572 5091220    0    0     0    28 5256 5212 79  4 17  0  0  0
 3  0 931840 3999096 119580 5091268    0    0     0    42 4633 2905 77  3 20  0  0  0
 6  0 931840 4002404 119596 5091260    0    0     0    38 4960 3832 78  3 19  0  0  0
 3  0 931840 3999312 119604 5092284    0    0     0    24 4871 3948 77  5 19  0  0  0
 3  0 931840 4001524 119628 5092324    0    0     0    88 4567 3089 75  3 22  0  0  0
 3  0 931840 4000580 119644 5092360    0    0     0   194 4443 2659 75  2 23  0  0  0
 5  0 931840 4000540 119644 5091384    0    0     0     0 4801 3817 77  3 20  0  0  0
 3  0 931840 4001100 119652 5091428    0    0     0    30 5013 4288 77  4 19  0  0  0
 3  0 931840 3999992 119668 5091440    0    0     0    26 4812 3192 76  3 21  0  0  0
 3  0 931840 3999232 119668 5091460    0    0     0     0 4381 2608 76  2 22  0  0  0
 3  0 931840 4000404 119668 5091480    0    0     0     0 4503 2305 80  2 18  0  0  0
 3  0 931840 3999000 119684 5091504    0    0     0    36 4454 2633 76  2 21  0  0  0
 3  0 931840 3999400 119700 5091500    0    0     0   128 4237 2264 76  2 22  0  0  0
 3  0 931840 3997428 119700 5091512    0    0     0     0 4563 2803 75  3 21  0  0  0
 3  0 931840 3994580 119700 5091516    0    0     0     0 5251 5173 78  4 18  0  0  0
 3  0 931840 4002812 119708 5091572    0    0     0    18 4799 3189 76  2 22  0  0  0
 3  0 931840 4003876 119708 5091584    0    0     0    18 4323 2403 75  2 22  0  0  0
 3  0 931840 4005080 119716 5091588    0    0     0    42 4535 2396 77  3 20  0  0  0
 3  0 931840 4004800 119724 5091664    0    0    26    96 4657 2858 77  2 21  0  0  0
 5  0 931584 4004944 119740 5091680    0    0     0    88 4828 3043 77  3 21  0  0  0
 3  0 931584 4003660 119740 5091720    0    0     8     0 7158 7706 80  8 12  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0 931584 4011720 119740 5091748    0    0     0    26 4988 4103 78  3 19  0  0  0
 3  0 931584 4010504 119748 5091784    0    0     0    44 4856 3399 76  3 21  0  0  0
 4  0 931584 4010592 119764 5091732    0    0     0    36 6557 7147 79  7 14  0  0  0
 3  0 931584 4011744 119764 5091764    0    0     0     0 5730 5656 77  6 17  0  0  0
 3  0 931584 4012184 119772 5091772   16    0    16    36 4376 2644 75  2 23  0  0  0
 3  0 931584 4010156 119780 5091856    0    0     0    26 6461 6712 78  8 14  0  0  0
 3  0 931584 4009784 119796 5091864    0    0     0    36 6272 6453 80  8 12  0  0  0
 3  0 931584 4009068 119796 5091880    0    0     0     0 5825 4882 77  6 17  0  0  0
 7  0 931584 4008080 119796 5091896    0    0     0     0 5613 4539 77  6 17  0  0  0
 3  0 931584 4008368 119804 5091896    0    0     0    36 4445 2536 76  3 21  0  0  0
 3  0 931584 4006096 119812 5091932    0    0     0    30 5446 5022 77  5 18  0  0  0
 3  0 931584 4008672 119828 5091916    0    0     0    28 5639 5166 80  4 16  0  0  0
 3  0 931584 4012460 119836 5091928    0    0     0    32 5751 4903 77  5 18  0  0  0
 3  0 931584 4013892 119852 5091928    0    0     0    30 5197 3636 77  4 19  0  0  0
 3  0 931584 4013284 119852 5091980    0    0    20    68 4569 2653 76  2 22  0  0  0
 4  0 931584 4013436 119852 5092024    0    0     0     0 4253 2130 76  2 23  0  0  0
 3  0 931584 4011964 119860 5092052    0    0     0    44 6145 5722 78  5 17  0  0  0
 4  0 931584 4010632 119876 5092052    0    0     0   192 6153 5499 78  5 17  0  0  0
 3  0 931584 4011552 119876 5092056    0    0     0     0 4618 2748 77  2 21  0  0  0
 3  0 931584 4010520 119884 5092068    0    0     0    38 5078 4564 79  4 18  0  0  0
 3  0 931584 4013056 119892 5092080    0    0     0    22 4516 2794 76  2 22  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0 931584 4010512 119908 5092076    0    0     0    34 4666 3018 76  3 21  0  0  0
 3  0 931584 4011304 119908 5092084    0    0     0     0 4469 2681 76  2 22  0  0  0
 3  0 931584 4011244 119908 5092096    0    0     0     0 4627 2979 76  3 22  0  0  0
 3  0 931584 4014396 119916 5092108    0    0     0    18 4804 3237 76  3 21  0  0  0
 3  0 931584 4012196 119916 5092120    0    0     0     0 4844 3872 77  4 19  0  0  0
 4  0 931584 4011100 119924 5092124    0    0     0    20 4720 3521 78  3 20  0  0  0
 3  0 931584 4014304 119932 5092140    0    0     0    20 4318 2281 76  2 22  0  0  0
 3  0 931584 4013764 119948 5092132    0    0     0    38 4293 2430 75  2 22  0  0  0
 3  0 931584 4012024 119948 5092148    0    0     0     0 4239 2108 76  4 20  0  0  0
 3  0 931584 4009268 119948 5093196    0    0     0    10 4739 4189 79  3 18  0  0  0
 3  0 931584 4011176 119956 5093216    0    0     0    28 4391 2530 76  3 21  0  0  0
 3  0 931584 4011936 119972 5093204    0    0     0    32 4454 2491 76  3 21  0  0  0
 4  0 931584 4011984 119972 5093216    0    0     0    38 5867 4986 78  6 17  0  0  0
 3  0 931584 4008644 119972 5093224    0    0     0     0 5665 4461 77  6 17  0  0  0
 3  0 931584 4009792 119988 5093236    0    0     0    36 5085 3437 77  5 19  0  0  0
 4  0 931584 4008752 120004 5092188    0    0     0   114 5899 6196 79  6 15  0  0  0
 5  0 931584 4009704 120004 5092196    0    0     0     0 4533 2514 77  2 20  0  0  0
 3  0 931584 4010104 120004 5092216    0    0     0     0 4675 2943 77  5 19  0  0  0
 8  0 931584 4000264 120012 5096336    0    0     0    26 6262 6675 79  6 15  0  0  0
 3  0 931584 4002908 120020 5096372    0    0     0    18 5346 4468 77  5 18  0  0  0
 6  0 931584 4001824 120036 5092244    0    0     0    42 4731 4046 77  2 20  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0 931584 4004684 120044 5092244    0    0     0    20 4718 3572 78  4 19  0  0  0
 3  0 931584 4004928 120060 5092264    0    0     0    72 5771 4799 79  7 15  0  0  0
 3  0 931584 4005292 120060 5092272    0    0     0     6 5746 5047 77  6 17  0  0  0
 5  0 931584 4005884 120060 5092328    0    0     0     0 5660 4588 78  5 17  0  0  0
 3  0 931584 4005280 120068 5092304    0    0     0    36 4770 3085 77  3 20  0  0  0
 4  0 931584 4004572 120084 5092340    0    0     0    50 4921 4153 78  3 19  0  0  0
 3  0 931584 4008196 120084 5092336    0    0     0    10 5357 5561 79  3 17  0  0  0
 3  0 931584 4007640 120092 5092316    0    0     0    72 4314 2109 76  2 22  0  0  0
 3  1 931584 4008100 120100 5092324    0    0     0    20 4060 1918 76  1 23  0  0  0
 3  0 931584 4012624 120116 5092320    0    0     0    68 4377 2535 76  3 21  0  0  0
 4  0 931584 4011340 120116 5092364    0    0     0     0 4944 4301 78  3 19  0  0  0
 3  0 931584 4008320 120116 5092376    0    0     0     0 4871 3537 77  3 20  0  0  0
 3  0 931584 4015672 120124 5092432    0    0     0    22 4257 2211 76  2 22  0  0  0
 4  0 931584 4016356 120124 5092436    0    0     0     0 4686 2874 77  3 20  0  0  0
 3  0 931584 4015436 120132 5092440    0    0     0    42 5709 4758 78  6 16  0  0  0
 3  0 931584 4013560 120140 5092460    0    0     0    18 5082 3567 78  5 17  0  0  0
 3  0 931584 4014000 120156 5092468    0    0     0    30 4359 2260 76  2 23  0  0  0
 3  0 931584 4012268 120156 5092476    0    0     0     2 5123 3618 77  6 17  0  0  0
 3  0 931584 4012796 120156 5092500    0    0     0     6 4966 3428 76  3 21  0  0  0
 3  0 931584 4012264 120164 5092528    0    0     0    32 5040 4888 78  4 18  0  0  0
 3  0 931584 4011404 120180 5092532    0    0     0    36 5186 3903 77  3 20  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0 931584 4012148 120180 5092560    0    0     0     0 5457 4227 78  5 17  0  0  0
 3  0 931584 4008888 120188 5092564   16    0    16    32 4561 2806 76  2 22  0  0  0
 4  0 931584 4010960 120196 5092600    0    0     0    18 5084 3777 77  4 20  0  0  0
 3  0 931584 4010496 120212 5092604    0    0     0   206 6389 5995 78  6 16  0  0  0
 3  0 931584 4010336 120212 5092616    0    0     0     0 4797 2957 77  3 20  0  0  0
 3  0 931584 4005708 120212 5093644    0    0     0     0 5124 5043 78  4 18  0  0  0
 6  0 931584 4004772 120220 5093656    0    0     0    24 5701 4481 79  5 16  0  0  0
10  0 931584 4003952 120228 5093896    0    0   168    40 5153 4032 77  4 19  0  0  0
 3  0 931584 4009004 120244 5093912    0    0     0    44 4579 2728 76  3 21  0  0  0
 3  0 931584 4011332 120252 5093940    0    0     0    26 4515 2829 76  2 22  0  0  0
 3  0 931584 4010684 120268 5093940    0    0     0   120 4927 3255 76  4 20  0  0  0
 3  0 931584 4011328 120268 5093976    0    0     0     8 4639 2771 76  2 22  0  0  0
 4  0 931584 4012356 120268 5092856    0    0     0     2 4798 3263 78  2 20  0  0  0
 4  0 931584 4011896 120276 5093068    0    0     0    50 5333 5260 79  4 17  0  0  0
 3  0 931584 4011344 120292 5093084    0    0     0   100 5803 4977 78  7 15  0  0  0
 3  0 931584 4012452 120292 5093104    0    0     0     0 5085 3711 76  3 20  0  0  0
 3  0 931584 4013132 120300 5093112    0    0     0    30 5414 5540 78  4 17  0  0  0
 3  0 931584 4011960 120308 5093132    0    0     0    84 4981 3446 76  3 21  0  0  0
 3  0 931584 4011824 120324 5093140    0    0     0    36 5222 3892 77  3 20  0  0  0
 3  0 931584 4009344 120324 5093272    0    0     0    10 4554 2851 76  3 21  0  0  0
 3  0 931584 4006708 120336 5093168    0    0     2    80 5191 4912 80  5 15  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0 931584 4007428 120336 5093176    0    0     0     0 4889 3222 77  3 20  0  0  0
 3  0 931584 4006640 120336 5093184    0    0     0    88 4737 3081 76  3 21  0  0  0
 3  0 931584 4006200 120344 5093200    0    0     0    32 4584 2488 76  2 22  0  0  0
 4  0 931584 4006852 120352 5093220    0    0     0    20 4277 2251 76  2 22  0  0  0
 3  0 931584 4005428 120368 5093216    0    0     0    30 3995 1848 75  1 23  0  0  0
 3  0 931584 4007332 120368 5093216    0    0     0     4 4337 2573 77  4 18  0  0  0
 3  0 931584 4005232 120368 5093224    0    0     0     0 4988 4698 79  4 17  0  0  0
 3  0 931584 4005972 120376 5093240    0    0     0    42 4478 2582 76  3 21  0  0  0
 3  0 931584 4007252 120392 5093248    0    0     0    38 4859 3169 78  4 18  0  0  0
 3  0 931584 4008360 120392 5093260    0    0     0     8 4620 2808 77  3 20  0  0  0
 3  0 931584 4005732 120400 5093272    0    0     0    28 4236 2275 75  2 22  0  0  0
 3  0 931584 4006552 120408 5093300    0    0     0    18 4302 2475 75  2 23  0  0  0
 3  0 931584 4005048 120424 5093312    0    0     0   150 4718 3026 76  3 21  0  0  0
 3  0 931584 4005264 120424 5093324    0    0     0     0 4500 2519 76  3 21  0  0  0
 3  0 931584 4003556 120432 5093328    0    0     0    24 4348 2319 76  2 22  0  0  0
 3  0 931584 4003548 120432 5093340    0    0     0     0 4266 1977 76  3 21  0  0  0
 3  0 931584 4002480 120440 5093328    0    0     0    40 4751 3124 76  3 21  0  0  0
 3  0 931584 4002972 120456 5093328    0    0     0    38 4538 2649 76  3 21  0  0  0
 3  0 931584 4004576 120464 5093356    0    0     0    22 4631 3512 77  3 21  0  0  0
 4  0 931584 4001996 120496 5094000    0    0     4   622 5466 6075 81  5 14  0  0  0
 9  1 931584 3992924 120496 5097560    0    0     0     0 5078 4960 78  4 18  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  0 931584 3994512 120496 5093580    0    0     0     2 7343 9564 80  9 11  0  0  0
 7  0 931584 3994976 120504 5093636    0    0     0    42 7390 9416 80  7 13  0  0  0
 7  0 931584 3997236 120520 5094652    0    0     0    64 5458 5324 78  4 18  0  0  0
 4  0 931584 3997524 120528 5093808    0    0   142    56 5596 6704 81  4 15  0  0  0
10  0 931584 3996388 120528 5093804    0    0     0     0 5114 4597 78  3 19  0  0  0
 3  0 931584 4002448 120536 5093820    0    0     0    24 4206 2376 75  2 23  0  0  0
 3  0 931584 4005256 120552 5092912    0    0     0    46 4359 2442 77  2 21  0  0  0
10  0 931584 4001380 120552 5093504    0    0     0     0 4642 2845 77  3 20  0  0  0
 4  0 931584 3998872 120552 5093756    0    0     0     0 5507 6271 78  5 17  0  0  0
 8  0 931584 3992328 120560 5093212    0    0    68   228 6669 7779 80  8 11  0  0  0
 5  0 931584 3998312 120560 5093824    0    0     0    14 6893 7936 78  7 14  0  0  0
 4  0 931584 3989392 120560 5098520    0    0     0     0 6809 7518 80  8 12  0  0  0
 7  0 931584 3976364 120568 5100164    0    0     0    28 5860 4523 88  5  7  0  0  0
10  0 931584 3819600 120616 5097816   12    0    12  1382 6173 5987 84 12  4  0  0  0
 9  1 931584 3713060 120648 5107748    0    0     2   312 7322 7514 90 10  0  0  0  0
 7  0 931584 3594264 120680 5152196   12    0    94   524 6747 8698 85 15  0  0  0  0
11  0 931584 3507944 120696 5163440    0    0     0  1916 7097 11760 79 21  0  0  0  0
10  0 931584 3343200 120712 5179344    0    0     0    90 6628 10203 89 11  0  0  0  0
14  0 931584 3140368 120844 5194420    0    0   592   526 7238 17417 86 14  0  0  0  0
15  0 931584 3079520 121172 5201296   10    0  4650    96 8119 12734 86 14  0  0  0  0
 7  0 931584 2949244 121332 5220544    0    0   262    80 7851 10719 86 14  0  0  0  0
