procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  1 932096 3847552 114756 5072752    0    0     0     8 4331 2100 76  2 21  0  0  0
 3  0 932096 3849620 114772 5072812    0    0    32   790 4347 2141 76  2 22  0  0  0
 4  0 932096 3848116 114904 5072860    0    0    66     8 4270 1866 77  2 22  0  0  0
 3  0 932096 3845540 114916 5072876    0    0     2    72 5316 3965 78  5 16  0  0  0
 3  0 932096 3844728 114932 5072852    0    0     0    38 5660 4540 79  4 16  0  0  0
 3  0 932096 3845412 114936 5072884    0    0     2    14 5388 3956 78  4 17  0  0  0
 6  0 932096 3845888 114936 5072900    0    0     0     0 5926 5258 78  6 16  0  0  0
 4  0 932096 3845444 114956 5068828    0    0     2   202 5064 4489 78  4 17  0  0  0
 3  0 932096 3846064 114972 5068824    0    0     0    46 4284 1968 76  2 23  0  0  0
 3  0 932096 3844072 114976 5068832    0    0     2   126 4748 3123 77  3 20  0  0  0
 3  0 932096 3849496 114976 5068804    0    0     0     2 5828 4831 77  6 17  0  0  0
 3  0 932096 3847988 115112 5068864    0    0    64    64 4860 3121 77  3 20  0  0  0
 5  0 932096 3849260 115112 5068864    0    0     0     0 4367 2453 76  3 21  0  0  0
 6  0 932096 3849868 115112 5068868    0    0     0     4 4261 2400 75  2 23  0  0  0
 4  1 932096 3849548 115120 5068908    0    0     0    40 4294 2490 76  3 21  0  0  0
 3  0 932096 3850900 115132 5068932    0    0     2    18 4531 3696 77  3 19  0  0  0
 3  0 932096 3853748 115148 5068928    0    0     0    76 4090 1859 77  3 20  0  0  0
 3  0 932096 3853064 115148 5068928    0    0     0    20 4243 1952 77  2 21  0  0  0
 3  0 932096 3853904 115156 5068940    0    0     0    78 4416 2401 77  3 20  0  0  0
 3  0 932096 3851348 115172 5068936    0    0     0   164 4347 2257 76  3 21  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0 932096 3853372 115176 5068952    0    0     2     0 4315 2104 77  2 21  0  0  0
 3  0 932096 3852212 115176 5068952   16    0    16     4 4102 2201 75  3 22  0  0  0
 3  0 932096 3851428 115192 5068964    0    0     0    62 4190 2114 76  3 21  0  0  0
 3  0 932096 3849252 115208 5068960    0    0     0    36 4032 1969 76  2 22  0  0  0
 3  0 932096 3849868 115208 5068960    0    0     0     4 4123 1845 77  3 21  0  0  0
 3  0 932096 3849072 115208 5068960    0    0     0     2 4151 2202 75  2 22  0  0  0
 3  0 932096 3847444 115216 5068968    0    0     0   162 5840 4962 78  7 15  0  0  0
 3  0 932096 3845080 115356 5069008    0    0    66    62 5820 5903 78  6 16  0  0  0
 3  0 932096 3847508 115372 5069000    0    0     0    30 4687 3687 77  3 20  0  0  0
 3  0 932096 3851528 115380 5069020    0    0     0    38 4159 2298 75  2 23  0  0  0
 4  0 932096 3851984 115396 5069020    0    0     0    30 4411 2695 76  2 22  0  0  0
 3  0 932096 3850808 115396 5069028    0    0     0     0 4661 2881 78  3 19  0  0  0
 4  0 932096 3850092 115396 5069072    0    0     0     8 5782 5032 77  5 18  0  0  0
 3  0 932096 3848496 115404 5069084    0    0     0    42 6380 6269 77  5 17  0  0  0
 3  0 932096 3849704 115420 5069088    0    0     0   120 6050 5722 76  5 19  0  0  0
 3  0 932096 3851192 115420 5069096    0    0     0    20 5958 5303 77  6 18  0  0  0
 3  0 932096 3850572 115420 5069100    0    0     0     0 4433 2548 75  2 23  0  0  0
 3  0 932096 3849524 115436 5069112    0    0     0    68 4368 2465 75  3 22  0  0  0
 3  0 932096 3849340 115452 5069112    0    0     0    42 4424 2474 76  2 22  0  0  0
 3  0 932096 3848184 115452 5069120    0    0     0     0 4803 3047 76  3 20  0  0  0
 3  0 932096 3848460 115452 5069128    0    0     0     0 4810 3154 76  3 21  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0 932096 3847756 115460 5069136    0    0     0    24 4633 2831 76  3 21  0  0  0
 3  0 932096 3850700 115468 5069136    0    0     0   230 4354 2457 76  2 22  0  0  0
 5  0 932096 3846644 115468 5069224    4    0   133     0 4969 4070 77  5 18  0  0  0
 3  0 932096 3850360 115468 5069228    0    0     0     0 5242 4545 78  5 18  0  0  0
 3  0 932096 3849708 115484 5069236    0    0     0    42 5634 4841 79  5 16  0  0  0
 3  0 932096 3848736 115500 5069228    0    0     0    30 4513 2684 77  4 19  0  0  0
 3  0 932096 3848200 115500 5069236    0    0     0     0 4391 2363 76  3 21  0  0  0
 3  0 932096 3847292 115508 5069252    0    0     0    24 4144 2071 76  2 22  0  0  0
 3  0 932096 3846092 115524 5069248    0    0     0    40 3985 1754 75  1 23  0  0  0
 3  0 932096 3846772 115524 5069248    0    0     0    10 4102 1691 76  2 22  0  0  0
 3  0 932096 3847644 115532 5069248    0    0     0    92 4376 2253 76  3 20  0  0  0
 3  0 932096 3847548 115540 5069232    0    0     0    82 4156 1905 76  1 22  0  0  0
 3  0 932096 3846552 115556 5069232    0    0     0    38 4167 2027 77  2 21  0  0  0
 3  0 932096 3847544 115556 5069232    0    0     0     8 4004 1714 75  1 23  0  0  0
 4  0 932096 3843612 115556 5069240    0    0     0     2 4046 1860 75  2 23  0  0  0
 6  0 932096 3845364 115564 5069244    0    0     0    32 4021 1882 75  2 23  0  0  0
 3  0 932096 3846624 115572 5069256    0    0     0    22 3949 1770 76  2 23  0  0  0
 3  0 932096 3844668 115588 5069332    0    0     0    46 4593 3544 77  3 20  0  0  0
 5  0 932096 3847648 115596 5069332    0    0     0    24 6396 6708 78  6 17  0  0  0
 7  0 932096 3849400 115612 5069336    0    0     0    30 5879 5040 77  7 16  0  0  0
 3  0 932096 3848828 115628 5069352    0    0     0   186 5482 4269 77  5 18  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0 932096 3849980 115628 5069384    0    0     0     0 4179 2151 76  2 22  0  0  0
 3  0 932096 3849600 115636 5069404    0    0     0    24 4270 2269 76  2 22  0  0  0
 3  0 932096 3849064 115652 5069392    0    0     0    32 4166 2069 76  2 22  0  0  0
 3  0 932096 3849748 115652 5069392    0    0     0    20 4283 2176 76  3 22  0  0  0
 3  0 932096 3848996 115652 5069396    0    0     0    10 4177 1940 76  2 22  0  0  0
 3  0 932096 3845172 115668 5070428    0    0     0    46 5329 5633 79  4 16  0  0  0
 3  0 932096 3851040 115684 5069396    0    0     0   194 4630 3259 77  2 20  0  0  0
 3  0 932096 3846052 115684 5069400    0    0     0     4 4441 2542 76  3 21  0  0  0
 3  0 932096 3848672 115684 5069364    0    0     0     0 3958 1651 75  2 23  0  0  0
 3  0 932096 3844168 115692 5069412    0    0     0    24 4255 2208 76  3 21  0  0  0
 3  0 932096 3843480 115692 5069420    0    0     0     0 4335 2423 76  2 22  0  0  0
 3  0 932096 3845488 115692 5069420    0    0     0     4 4086 1797 76  2 23  0  0  0
 4  0 932096 3846092 115700 5069424    0    0     0    92 4148 1962 76  2 23  0  0  0
 3  0 932096 3844068 115708 5069416    0    0     0    22 4178 2302 77  2 21  0  0  0
 8  0 932096 3845688 115724 5069472    0    0     0    30 6117 6687 81  6 13  0  0  0
 3  0 932096 3843832 115724 5069468    0    0     0     0 5981 6332 78  6 16  0  0  0
 3  0 932096 3842556 115732 5069488    0    0     0    20 4800 3249 77  3 21  0  0  0
 5  0 932096 3842160 115748 5070468    0    0     0    36 4249 2178 76  2 23  0  0  0
 4  0 932096 3848816 115748 5070448    0    0     0     0 4489 2571 76  3 21  0  0  0
 5  0 932096 3847060 115756 5070440    0    0     0   168 4152 1999 76  2 23  0  0  0
 3  0 932096 3847096 115764 5070456    0    0     0    24 4164 2056 76  1 23  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0 932096 3854180 115780 5070452    0    0     0    44 5315 4113 78  4 18  0  0  0
 3  0 932096 3855228 115780 5070460    0    0     0     0 6256 5868 77  5 17  0  0  0
 3  0 932096 3853148 115780 5070452    0    0     0     6 7217 7280 79  9 12  0  0  0
 4  0 932096 3852672 115788 5070460    0    0     0   186 7572 8055 80  9 10  0  0  0
 3  0 932096 3860040 115796 5070480    0    0     0    58 7016 6734 82  8 10  0  0  0
 3  0 932096 3857432 115812 5070480    0    0     0    44 6024 5357 78  7 15  0  0  0
 3  0 932096 3857748 115820 5070476   16    0    16    28 5754 4881 78  5 17  0  0  0
 3  0 932096 3855836 115836 5070480    0    0     0    30 5943 5311 78  6 17  0  0  0
 3  0 932096 3855916 115836 5070504    0    0     0     0 4679 3143 76  2 22  0  0  0
 3  0 932096 3856456 115836 5070552    0    0     0     0 4804 3255 77  3 20  0  0  0
 3  0 932096 3854456 115844 5070564    0    0     0    36 4662 3100 77  2 21  0  0  0
 3  0 932096 3856012 115860 5070552    0    0     0    58 4537 2890 76  2 22  0  0  0
 3  0 932096 3853904 115860 5070556    0    0     0     0 4611 2757 76  3 21  0  0  0
 3  0 932096 3854928 115860 5070564    0    0     0     0 4840 3198 76  3 21  0  0  0
 3  0 932096 3852256 115876 5070616    0    0     0    40 5192 4547 78  2 20  0  0  0
 3  0 932096 3854940 115892 5070612    0    0     0   136 5167 4458 78  3 19  0  0  0
 3  0 932096 3853952 115892 5070612    0    0     0    10 4304 2284 76  2 22  0  0  0
 3  0 932096 3854784 115892 5069552    0    0     0     0 4379 2295 76  2 22  0  0  0
 8  0 932096 3853744 115900 5069584    0    0     0    32 4490 2608 77  3 20  0  0  0
 3  0 932096 3854180 115900 5069592    0    0     0     0 4908 4418 78  3 19  0  0  0
 4  0 932096 3855792 115900 5069600    0    0     0     0 4215 2063 76  2 23  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0 932096 3856508 115908 5069612    0    0     0    96 4511 2662 76  2 22  0  0  0
 3  0 932096 3856504 115916 5069624    0    0     0    18 4339 2344 76  3 21  0  0  0
